book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,8,21,0,18,15,14,0,0
1,8,21,0,24,17,9,0,0
1,8,21,0,45,1,21,0,0
1,8,21,0,1,9,11,0,0
1,8,21,0,1,9,15,0,0
1,8,22,0,23,54,9,0,0
1,8,22,0,24,33,20,0,0
1,9,1,0,1,9,7,0,0
1,9,1,0,1,9,19,0,0
1,9,1,0,1,10,32,0,0
1,9,2,0,19,8,6,0,0
1,9,2,0,59,3,7,0,0
1,9,3,0,5,12,15,0,0
1,9,3,0,5,14,4,0,0
1,9,3,0,44,10,12,0,0
1,9,3,0,44,10,14,0,0
1,9,3,0,54,4,3,4,0
1,9,3,0,1,1,20,0,0
1,9,4,0,3,17,14,0,0
1,9,4,0,3,19,25,0,0
1,9,4,0,5,12,23,0,0
1,9,4,0,9,14,34,0,0
1,9,5,0,26,21,12,0,0
1,9,5,0,26,21,28,0,0
1,9,6,0,1,1,27,0,0
1,9,6,0,3,24,17,0,0
1,9,6,0,45,13,4,0,0
1,9,9,0,1,6,18,0,0
1,9,9,0,1,9,11,0,0
1,9,9,0,1,9,17,0,0
1,9,10,0,19,145,9,0,0
1,9,10,0,1,8,1,0,0
1,9,11,0,61,3,7,0,0
1,9,12,0,1,17,11,0,0
1,9,13,0,26,1,28,0,0
1,9,13,0,66,4,3,0,0
1,9,15,0,5,7,9,0,0
1,9,15,0,16,9,32,0,0
1,9,18,0,1,10,1,0,0
1,9,18,0,1,10,6,0,0
1,9,19,0,1,10,32,0,0
1,9,19,0,13,1,4,0,0
1,9,21,0,20,20,1,0,0
1,9,21,0,42,21,34,0,0
1,9,21,0,13,10,12,0,0
1,9,23,0,48,6,1,0,0
1,9,23,0,60,4,8,0,0
1,9,25,0,5,27,16,0,0
1,9,25,0,14,8,7,8,0
1,10,1,0,13,1,5,0,0
1,10,5,0,36,2,11,0,0
1,10,6,0,13,1,8,0,0
1,10,7,0,19,72,10,0,0
1,10,8,0,33,5,6,0,0
1,10,10,0,30,6,2,0,0
1,10,14,0,13,1,12,0,0
1,10,18,0,1,15,18,0,0
1,10,18,0,1,15,21,0,0
1,10,18,0,6,12,7,8,0
1,10,22,0,13,1,17,0,0
1,11,4,0,5,1,28,0,0
1,11,4,0,19,49,2,0,0
1,11,4,0,27,4,30,0,0
1,11,4,0,20,10,7,0,0
1,11,4,0,1,11,9,0,0
1,11,4,0,42,1,51,0,0
1,11,5,0,1,18,21,0,0
1,11,7,0,19,2,5,0,0
1,11,7,0,19,55,9,0,0
1,11,10,0,1,10,24,0,0
1,11,10,0,13,1,17,0,0
1,11,26,0,6,24,2,0,0
1,11,29,0,1,17,15,0,0
1,11,29,0,1,22,20,0,0
